Barcode,Subtype,Dataset
TCGA-BG-A0M8-01A-12R-A104-07,CN_high,Training
TCGA-BG-A0M9-01A-21R-A104-07,CN_low,Training
TCGA-BG-A0MC-01A-21R-A040-07,CN_low,Training
TCGA-BG-A0MG-01A-21R-A104-07,CN_low,Training
TCGA-BG-A0MI-01A-11R-A040-07,CN_low,Training
TCGA-BG-A0MO-01A-11R-A040-07,CN_low,Training
TCGA-BG-A0MQ-01A-11R-A104-07,Hypermutated,Training
TCGA-BG-A0MS-01A-11R-A104-07,CN_low,Training
TCGA-BG-A0MT-01A-11R-A104-07,CN_low,Training
TCGA-BG-A0MU-01A-11R-A104-07,CN_low,Training
TCGA-BG-A0RY-01A-11R-A104-07,CN_low,Training
TCGA-BG-A0VV-01A-21R-A118-07,CN_low,Training
TCGA-BG-A0VW-01A-11R-A118-07,Hypermutated,Training
TCGA-BG-A0VX-01A-11R-A118-07,CN_low,Training
TCGA-BG-A0VZ-01A-11R-A109-07,Hypermutated,Training
TCGA-BG-A0W2-01A-11R-A109-07,CN_low,Training
TCGA-BG-A0YU-01A-21R-A10J-07,CN_low,Training
TCGA-BG-A186-01A-11R-A12I-07,CN_low,Training
TCGA-BG-A18A-01A-21R-A12I-07,CN_low,Training
TCGA-BG-A18C-01A-11R-A12I-07,CN_high,Training
TCGA-BG-A2AE-01A-11R-A16F-07,CN_low,Training
TCGA-BK-A0C9-01A-11R-A00V-07,Hypermutated,Training
TCGA-BK-A0CA-01A-21R-A118-07,CN_low,Training
TCGA-BK-A0CB-01A-32R-A104-07,CN_low,Training
TCGA-BK-A0CC-01A-21R-A16W-07,CN_high,Training
TCGA-BK-A139-01A-11R-A118-07,CN_high,Training
TCGA-BK-A13C-01A-11R-A118-07,CN_low,Training
TCGA-BS-A0T9-01A-11R-A12I-07,CN_low,Training
TCGA-BS-A0TA-01A-11R-A104-07,Hypermutated,Training
TCGA-BS-A0TI-01A-11R-A104-07,CN_high,Training
TCGA-BS-A0TJ-01A-11R-A104-07,Hypermutated,Training
TCGA-BS-A0U8-01A-11R-A104-07,Hypermutated,Training
TCGA-BS-A0U9-01B-21R-A10J-07,CN_high,Training
TCGA-BS-A0UA-01A-11R-A118-07,Hypermutated,Training
TCGA-BS-A0UF-01A-11R-A104-07,Hypermutated,Training
TCGA-BS-A0UJ-01A-12R-A104-07,Hypermutated,Training
TCGA-BS-A0UL-01A-11R-A109-07,Hypermutated,Training
TCGA-BS-A0UT-01A-11R-A104-07,CN_low,Training
TCGA-BS-A0UV-01A-11R-A16W-07,Hypermutated,Training
TCGA-BS-A0V6-01A-11R-A118-07,CN_low,Training
TCGA-BS-A0WQ-01A-21R-A109-07,CN_low,Training
TCGA-D1-A0ZN-01A-11R-A118-07,CN_low,Training
TCGA-D1-A0ZP-01A-21R-A10J-07,CN_high,Training
TCGA-D1-A0ZQ-01A-11R-A118-07,CN_low,Training
TCGA-D1-A0ZR-01A-21R-A10J-07,CN_low,Training
TCGA-D1-A0ZU-01A-11R-A10J-07,CN_low,Training
TCGA-D1-A0ZV-01A-11R-A10J-07,CN_low,Training
TCGA-D1-A0ZZ-01A-11R-A10J-07,CN_high,Training
TCGA-D1-A101-01A-12R-A10J-07,Hypermutated,Training
TCGA-D1-A102-01A-11R-A10J-07,CN_low,Training
TCGA-D1-A103-01A-11R-A10J-07,Hypermutated,Training
TCGA-D1-A15V-01A-11R-A118-07,CN_high,Training
TCGA-D1-A15Z-01A-11R-A118-07,CN_low,Training
TCGA-D1-A160-01A-11R-A118-07,Hypermutated,Training
TCGA-D1-A161-01A-11R-A118-07,CN_low,Training
TCGA-D1-A163-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A167-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A168-01A-31R-A12I-07,CN_low,Training
TCGA-D1-A169-01A-11R-A12I-07,CN_high,Training
TCGA-D1-A16B-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A16D-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A16E-01A-22R-A12I-07,CN_low,Training
TCGA-D1-A16G-01A-31R-A12I-07,CN_high,Training
TCGA-D1-A16J-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A16N-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A16O-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A16S-01A-11R-A12I-07,CN_high,Training
TCGA-D1-A16X-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A16Y-01A-31R-A12I-07,Hypermutated,Training
TCGA-D1-A174-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A176-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A177-01A-21R-A12I-07,Hypermutated,Training
TCGA-D1-A17A-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A17B-01A-22R-A12I-07,Hypermutated,Training
TCGA-D1-A17D-01A-12R-A12I-07,Hypermutated,Training
TCGA-D1-A17F-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A17H-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A17K-01A-11R-A12I-07,CN_high,Training
TCGA-D1-A17L-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A17M-01A-21R-A12I-07,Hypermutated,Training
TCGA-D1-A17N-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A17Q-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A17R-01A-11R-A12I-07,Hypermutated,Training
TCGA-D1-A17S-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A17T-01A-11R-A12I-07,CN_low,Training
TCGA-D1-A17U-01A-21R-A12I-07,Hypermutated,Training
TCGA-D1-A1NU-01A-11R-A14D-07,CN_high,Training
TCGA-D1-A1NX-01A-11R-A16F-07,CN_high,Training
TCGA-DI-A0WH-01A-12R-A12I-07,Hypermutated,Training
TCGA-DI-A1NN-01A-11R-A16F-07,CN_high,Training
TCGA-EO-A1Y5-01A-11R-A157-07,CN_high,Training
TCGA-FI-A2D2-01A-11R-A17B-07,CN_high,Training
TCGA-FI-A2EW-01A-11R-A17B-07,CN_high,Training
TCGA-FI-A2EX-01A-11R-A17B-07,CN_high,Training
TCGA-FI-A2F8-01A-12R-A17B-07,CN_high,Training
